t_s,drone_x,drone_y,drone_z,drone_speed_mps,drone_accel_mps2,drone_yaw_rad,drone_yawrate_rads,trailer_x,trailer_y,trailer_speed_mps,dist_xy_m,replan_count,phase,captured,track_err_m,track_err_dense_m
0.0,586.981,579.976,14.8,0.3,3.0,-2.23915,1.2,-600.0,-600.0,6.0,1673.7291,1,pursuit,0,2.6872,2.1515
0.1,586.95,579.925,14.6,0.6,3.0,-2.11915,1.2,-599.4,-600.0,6.0,1673.2738,1,pursuit,0,2.7123,2.1406
0.2,586.913,579.843,14.4,0.9,3.0,-1.99915,1.2,-598.8,-600.0,6.0,1672.7902,1,pursuit,0,2.742,2.1167
0.3,586.876,579.729,14.2,1.2,3.0,-1.87915,1.2,-598.2,-600.0,6.0,1672.2807,1,pursuit,0,2.6586,2.0568
0.4,586.848,579.582,14.0,1.5,3.0,-1.76305,1.161,-597.6,-600.0,6.0,1671.749,1,pursuit,0,2.5159,1.9722
0.5,586.83,579.403,13.8,1.8,3.0,-1.66859,0.9446,-597.0,-600.0,6.0,1671.1997,1,pursuit,0,2.341,1.8669
0.6,586.823,579.193,13.6,2.1,3.0,-1.60405,0.6454,-596.4,-600.0,6.0,1670.6358,1,pursuit,0,2.1348,1.7252
0.7,586.823,578.953,13.4,2.4,3.0,-1.57075,0.333,-595.8,-600.0,6.0,1670.0578,1,pursuit,0,1.8985,1.5521
0.8,586.824,578.683,13.2,2.7,3.0,-1.56623,0.0452,-595.2,-600.0,6.0,1669.4635,1,pursuit,0,1.6337,1.3804
0.9,586.82,578.383,13.0,3.0,3.0,-1.58577,-0.1953,-594.6,-600.0,6.0,1668.8489,1,pursuit,0,1.3435,1.1603
1.0,586.803,578.053,12.8,3.3,3.0,-1.62312,-0.3735,-594.0,-600.0,6.0,1668.2091,1,pursuit,0,1.0356,0.9553
1.1,586.766,577.695,12.6,3.6,3.0,-1.67155,-0.4844,-593.4,-600.0,6.0,1667.5394,1,pursuit,0,0.7329,0.7278
1.2,586.707,577.31,12.4,3.9,3.0,-1.72465,-0.5309,-592.8,-600.0,6.0,1666.8361,1,pursuit,0,0.5194,0.5288
1.3,586.593,576.905,12.208,4.2,3.0,-1.84465,-1.2,-592.2,-600.0,6.0,1666.0969,1,pursuit,0,0.6108,0.2989
1.4,586.42,576.49,12.031,4.5,3.0,-1.96465,-1.2,-591.6,-600.0,6.0,1665.3063,1,pursuit,0,0.9634,0.3472
1.5,586.186,576.071,11.869,4.8,3.0,-2.08059,-1.1594,-591.0,-600.0,6.0,1664.466,1,pursuit,0,1.4189,0.1406
1.6,585.898,575.65,11.719,5.1,3.0,-2.17116,-0.9057,-590.4,-600.0,6.0,1663.5797,1,pursuit,0,1.9234,0.1148
1.7,585.563,575.226,11.582,5.4,3.0,-2.23948,-0.6832,-589.8,-600.0,6.0,1662.6541,1,pursuit,0,2.4627,0.3349
1.8,585.188,574.797,11.455,5.7,3.0,-2.28955,-0.5006,-589.2,-600.0,6.0,1661.6936,1,pursuit,0,3.0327,0.3121
1.9,584.777,574.36,11.339,6.0,3.0,-2.32483,-0.3528,-588.6,-600.0,6.0,1660.7007,1,pursuit,0,3.6323,0.1876
2.0,584.335,573.911,11.232,6.3,3.0,-2.348,-0.2317,-588.0,-600.0,6.0,1659.677,1,pursuit,0,3.7553,0.2194
2.1,583.866,573.447,11.133,6.6,3.0,-2.36196,-0.1396,-587.4,-600.0,6.0,1658.623,1,pursuit,0,3.0955,0.3704
2.2,583.372,572.965,11.043,6.9,3.0,-2.3691,-0.0714,-586.8,-600.0,6.0,1657.5392,1,pursuit,0,2.4057,0.3804
2.3,582.855,572.464,10.959,7.2,3.0,-2.37162,-0.0253,-586.2,-600.0,6.0,1656.4256,1,pursuit,0,1.6861,0.225
