t_s,drone_x,drone_y,drone_z,drone_speed_mps,drone_accel_mps2,drone_yaw_rad,drone_yawrate_rads,trailer_x,trailer_y,trailer_speed_mps,dist_xy_m,replan_count,phase,captured,track_err_m,track_err_dense_m
0.0,586.981,579.976,14.8,0.3,3.0,-2.23915,1.2,-600.0,-600.0,6.0,1673.7291,1,pursuit,0,7.6886,7.5969
0.1,586.95,579.925,14.6,0.6,3.0,-2.11915,1.2,-599.4,-600.0,6.0,1673.2738,1,pursuit,0,7.6654,7.5652
0.2,586.913,579.843,14.4,0.9,3.0,-1.99915,1.2,-598.8,-600.0,6.0,1672.7902,1,pursuit,0,7.6217,7.5078
0.3,586.876,579.729,14.2,1.2,3.0,-1.87915,1.2,-598.2,-600.0,6.0,1672.2807,1,pursuit,0,7.5524,7.4214
0.4,586.848,579.582,14.0,1.5,3.0,-1.75915,1.2,-597.6,-600.0,6.0,1671.749,1,pursuit,0,7.4532,7.3029
0.5,586.836,579.402,13.8,1.8,3.0,-1.63915,1.2,-597.0,-600.0,6.0,1671.2001,1,pursuit,0,7.3209,7.1497
0.6,586.847,579.192,13.6,2.1,3.0,-1.51915,1.2,-596.4,-600.0,6.0,1670.6396,1,pursuit,0,7.1526,6.9575
0.7,586.888,578.956,13.4,2.4,3.0,-1.39915,1.2,-595.8,-600.0,6.0,1670.0743,1,pursuit,0,6.9466,6.7265
0.8,586.965,578.697,13.2,2.7,3.0,-1.27915,1.2,-595.2,-600.0,6.0,1669.5115,1,pursuit,0,6.7019,6.4601
0.9,587.085,578.422,13.0,3.0,3.0,-1.15915,1.2,-594.6,-600.0,6.0,1668.959,1,pursuit,0,6.4183,6.1605
1.0,587.233,578.127,12.8,3.3,3.0,-1.10605,0.531,-594.0,-600.0,6.0,1668.4251,1,pursuit,0,6.1024,5.8305
1.1,587.397,577.806,12.6,3.6,3.0,-1.10037,0.0568,-593.4,-600.0,6.0,1667.8967,1,pursuit,0,5.759,5.4705
1.2,587.565,577.456,12.4,3.8856,2.856,-1.12314,-0.2277,-592.8,-600.0,6.0,1667.3608,1,pursuit,0,5.3938,5.082
1.3,587.753,577.083,12.208,4.1855,2.9994,-1.10326,0.1988,-592.2,-600.0,6.0,1666.8077,1,pursuit,0,5.0013,4.6634
1.4,587.956,576.682,12.031,4.4855,2.9996,-1.10325,0.0001,-591.6,-600.0,6.0,1666.2526,1,pursuit,0,4.5857,4.2149
1.5,588.15,576.245,11.869,4.7855,2.9998,-1.15185,-0.4859,-591.0,-600.0,6.0,1665.6882,1,pursuit,0,4.1606,3.7368
1.6,588.344,575.775,11.719,5.0855,3.0,-1.17918,-0.2733,-590.4,-600.0,6.0,1665.0925,1,pursuit,0,3.7308,3.2298
1.7,588.489,575.256,11.582,5.3855,3.0,-1.29918,-1.2,-589.8,-600.0,6.0,1664.4731,1,pursuit,0,3.3445,2.7046
1.8,588.573,574.705,11.455,5.5745,1.8904,-1.41918,-1.2,-589.2,-600.0,6.0,1663.7842,1,pursuit,0,2.9616,2.1787
1.9,588.59,574.178,11.339,5.2745,-3.0,-1.53918,-1.2,-588.6,-600.0,6.0,1663.0299,1,pursuit,0,2.4652,1.6935
2.0,588.546,573.681,11.232,4.9899,-2.8465,-1.65918,-1.2,-588.0,-600.0,6.0,1662.2446,1,pursuit,0,1.9869,1.2913
2.1,588.439,573.176,11.133,5.1605,1.706,-1.77918,-1.2,-587.4,-600.0,6.0,1661.4376,1,pursuit,0,1.4852,0.8699
2.2,588.263,572.659,11.043,5.4605,3.0,-1.89918,-1.2,-586.8,-600.0,6.0,1660.5807,1,pursuit,0,0.9492,0.5008
2.3,588.013,572.14,10.959,5.7605,3.0,-2.01918,-1.2,-586.2,-600.0,6.0,1659.6663,1,pursuit,0,0.3838,0.3518
2.4,587.687,571.629,10.882,6.0605,3.0,-2.13918,-1.2,-585.6,-600.0,6.0,1658.6982,1,pursuit,0,0.2393,0.261
2.5,587.283,571.138,10.812,6.3605,3.0,-2.25918,-1.2,-585.0,-600.0,6.0,1657.682,1,pursuit,0,0.8602,0.4398
2.6,586.801,570.678,10.747,6.6605,3.0,-2.37918,-1.2,-584.4,-600.0,6.0,1656.6245,1,pursuit,0,1.5161,0.63
2.7,586.244,570.261,10.687,6.9605,3.0,-2.49918,-1.2,-583.8,-600.0,6.0,1655.5343,1,pursuit,0,2.1971,0.7644
2.8,585.615,569.899,10.632,7.2605,3.0,-2.61907,-1.1989,-583.2,-600.0,6.0,1654.4212,1,pursuit,0,2.8999,0.8281
2.9,584.926,569.586,10.582,7.5605,3.0,-2.71575,-0.9668,-582.6,-600.0,6.0,1653.2962,1,pursuit,0,3.6259,0.8348
3.0,584.194,569.301,10.535,7.8605,3.0,-2.77049,-0.5474,-582.0,-600.0,6.0,1652.1649,1,pursuit,0,4.2718,0.8152
3.1,583.426,569.023,10.492,8.1605,3.0,-2.79396,-0.2347,-581.4,-600.0,6.0,1651.0221,1,pursuit,0,3.4567,0.6957
3.2,582.629,568.739,10.453,8.4605,3.0,-2.79879,-0.0483,-580.8,-600.0,6.0,1649.8601,1,pursuit,0,2.612,0.5734
3.3,581.807,568.438,10.417,8.7605,3.0,-2.79119,0.076,-580.2,-600.0,6.0,1648.6731,1,pursuit,0,1.7394,0.4603
3.4,580.962,568.116,10.383,9.0396,2.7912,-2.77763,0.1356,-579.6,-600.0,6.0,1647.4566,1,pursuit,0,0.8494,0.3637
3.5,580.103,567.772,10.353,9.2566,2.1698,-2.76084,0.168,-579.0,-600.0,6.0,1646.2101,1,pursuit,0,0.25,0.2877
3.6,579.234,567.408,10.324,9.4248,1.6819,-2.74409,0.1675,-578.4,-600.0,6.0,1644.9379,1,pursuit,0,1.0767,0.2349
3.7,578.358,567.024,10.298,9.5569,1.3218,-2.72859,0.1549,-577.8,-600.0,6.0,1643.6445,1,pursuit,0,2.0229,0.2078
3.8,577.479,566.625,10.275,9.6578,1.0088,-2.71608,0.1251,-577.2,-600.0,6.0,1642.3336,1,pursuit,0,2.986,0.2067
3.9,576.596,566.214,10.253,9.7337,0.7588,-2.70581,0.1027,-576.6,-600.0,6.0,1641.0094,1,pursuit,0,3.9584,0.2304
4.0,575.711,565.794,10.232,9.802,0.6834,-2.69798,0.0783,-576.0,-600.0,6.0,1639.675,1,pursuit,0,4.2489,0.2777
4.1,574.823,565.364,10.214,9.8606,0.5858,-2.69107,0.0691,-575.4,-600.0,6.0,1638.3318,1,pursuit,0,3.2628,0.3459
4.2,573.934,564.928,10.197,9.9062,0.4558,-2.68569,0.0538,-574.8,-600.0,6.0,1636.9812,1,pursuit,0,2.2722,0.4325
4.3,573.042,564.489,10.181,9.9378,0.3163,-2.68344,0.0224,-574.2,-600.0,6.0,1635.6249,1,pursuit,0,1.2785,0.34
4.4,572.15,564.046,10.167,9.9601,0.2231,-2.68077,0.0268,-573.6,-600.0,6.0,1634.2652,1,pursuit,0,0.2826,0.2056
4.5,571.258,563.601,10.153,9.9746,0.145,-2.67932,0.0145,-573.0,-600.0,6.0,1632.9029,1,pursuit,0,0.7151,0.0554
4.6,570.364,563.155,10.141,9.9836,0.0896,-2.67895,0.0037,-572.4,-600.0,6.0,1631.5391,1,pursuit,0,1.7134,0.1125
4.7,569.47,562.71,10.13,9.9889,0.0531,-2.67898,-0.0003,-571.8,-600.0,6.0,1630.1746,1,pursuit,0,2.7123,0.2954
4.8,568.576,562.264,10.119,9.9919,0.0299,-2.67934,-0.0035,-571.2,-600.0,6.0,1628.81,1,pursuit,0,3.7115,0.2889
4.9,567.681,561.819,10.11,9.9936,0.0165,-2.67976,-0.0043,-570.6,-600.0,6.0,1627.4456,1,pursuit,0,3.0253,0.0565
5.0,566.786,561.374,10.101,9.9946,0.0102,-2.68018,-0.0042,-570.0,-600.0,6.0,1626.0815,1,pursuit,0,2.0259,0.1937
5.1,565.891,560.93,10.093,9.9953,0.0069,-2.68119,-0.01,-569.4,-600.0,6.0,1624.7179,1,pursuit,0,1.0264,0.2531
5.2,564.995,560.486,10.085,9.9959,0.0066,-2.6817,-0.0051,-568.8,-600.0,6.0,1623.3548,1,pursuit,0,0.0272,0.0508
5.3,564.099,560.042,10.079,9.9967,0.0072,-2.68177,-0.0007,-568.2,-600.0,6.0,1621.9922,1,pursuit,0,0.9729,0.2855
5.4,563.204,559.598,10.072,9.9974,0.0073,-2.68153,0.0024,-567.6,-600.0,6.0,1620.6299,1,pursuit,0,1.9727,0.0745
5.5,562.308,559.154,10.067,9.9981,0.0071,-2.6811,0.0043,-567.0,-600.0,6.0,1619.2678,1,pursuit,0,2.9725,0.1537
5.6,561.412,558.709,10.061,9.9988,0.0069,-2.68064,0.0046,-566.4,-600.0,6.0,1617.9059,1,pursuit,0,2.0332,0.2565
5.7,560.516,558.265,10.056,9.9992,0.0044,-2.68139,-0.0076,-565.8,-600.0,6.0,1616.5441,1,pursuit,0,1.0332,0.121
5.8,559.621,557.821,10.052,9.9996,0.0039,-2.68116,0.0024,-565.2,-600.0,6.0,1615.1829,1,pursuit,0,0.0333,0.0383
5.9,558.725,557.376,10.048,10.0,0.0039,-2.68087,0.0029,-564.6,-600.0,6.0,1613.8219,1,pursuit,0,0.9667,0.0028
6.0,557.83,556.931,10.044,10.0004,0.0035,-2.67995,0.0091,-564.0,-600.0,6.0,1612.4612,1,pursuit,0,1.9668,0.0053
6.1,556.935,556.485,10.04,10.0007,0.0036,-2.67907,0.0089,-563.4,-600.0,6.0,1611.1005,2,pursuit,0,1.0527,1.0527
6.2,556.04,556.038,10.037,10.0011,0.0038,-2.67815,0.0092,-562.8,-600.0,6.0,1609.7398,2,pursuit,0,0.0548,0.0548
6.3,555.146,555.59,10.034,10.0015,0.0041,-2.67736,0.0079,-562.2,-600.0,6.0,1608.3791,2,pursuit,0,0.486,0.3144
6.4,554.252,555.141,10.031,10.0019,0.0044,-2.67672,0.0063,-561.6,-600.0,6.0,1607.0185,2,pursuit,0,1.4624,0.636
6.5,553.358,554.693,10.029,10.0024,0.0047,-2.67629,0.0043,-561.0,-600.0,6.0,1605.658,2,pursuit,0,1.6746,0.9744
6.6,552.464,554.243,10.027,10.0029,0.005,-2.67601,0.0028,-560.4,-600.0,6.0,1604.2977,2,pursuit,0,1.3319,1.272
