building_id,foundation_z_m,roof_z_m,dart_polyline_prism,boundary_alignment_error_m,undercoverage_m,outward_error_m
building_001,-0.05,48.2352941176,true,0,0,0
building_002,-0.05,30.1470588235,true,0,0,0
building_004,-0.05,23.0882352941,true,0,0,0
building_005,-0.05,33.5294117647,true,0,0,0
building_007,-0.05,38.3823529412,true,0,0,0
building_009,-0.05,34.4117647059,true,0,0,0
building_010,-0.05,46.9117647059,true,0,0,0
building_011,-0.05,29.2647058824,true,0,0,0
building_012,-0.05,25.7352941176,true,0,0,0
building_014,-0.05,41.9117647059,true,0,0,0
building_015,-0.05,34.1176470588,true,0,0,0
building_018,-0.05,20.5882352941,true,0,0,0
building_019,-0.05,29.5588235294,true,0,0,0
building_020,-0.05,27.7941176471,true,0,0,0
building_022,-0.05,44.8529411765,true,0,0,0
building_026,-0.05,46.3235294118,true,0,0,0
building_027,-0.05,42.9411764706,true,0,0,0
building_028,-0.05,38.0882352941,true,0,0,0
building_031,-0.05,42.0588235294,true,0,0,0
building_032,-0.05,47.0588235294,true,0,0,0
building_033,-0.05,45.2941176471,true,0,0,0
building_034,-0.05,43.8235294118,true,0,0,0
building_036,-0.05,25.8823529412,true,0,0,0
building_038,-0.05,25.2941176471,true,0,0,0
building_040,-0.05,36.7647058824,true,0,0,0
building_042,-0.05,49.5588235294,true,0,0,0
building_043,-0.05,36.0294117647,true,0,0,0
building_045,-0.05,43.3823529412,true,0,0,0
building_046,-0.05,26.9117647059,true,0,0,0
building_047,-0.05,39.2647058824,true,0,0,0
building_048,-0.05,49.4117647059,true,0,0,0
building_049,-0.05,21.6176470588,true,0,0,0
building_050,-0.05,37.0588235294,true,0,0,0
building_051,-0.05,43.6764705882,true,0,0,0
building_053,-0.05,38.5294117647,true,0,0,0
building_054,-0.05,21.4705882353,true,0,0,0
building_055,-0.05,36.6176470588,true,0,0,0
building_056,-0.05,38.2352941176,true,0,0,0
building_057,-0.05,44.2647058824,true,0,0,0
building_058,-0.05,41.1764705882,true,0,0,0
building_059,-0.05,40.2941176471,true,0,0,0
building_060,-0.05,37.5,true,0,0,0
building_062,-0.05,31.3235294118,true,0,0,0
building_063,-0.05,42.3529411765,true,0,0,0
building_064,-0.05,39.4117647059,true,0,0,0
building_065,-0.05,48.5294117647,true,0,0,0
building_067,-0.05,43.0882352941,true,0,0,0
building_069,-0.05,26.3235294118,true,0,0,0
building_070,-0.05,36.3235294118,true,0,0,0
building_072,-0.05,24.2647058824,true,0,0,0
building_073,-0.05,45.7352941176,true,0,0,0
building_074,-0.05,46.0294117647,true,0,0,0
building_076,-0.05,44.7058823529,true,0,0,0
building_078,-0.05,38.9705882353,true,0,0,0
building_082,-0.05,32.9411764706,true,0,0,0
building_083,-0.05,21.9117647059,true,0,0,0
building_084,-0.05,33.6764705882,true,0,0,0
building_086,-0.05,42.7941176471,true,0,0,0
building_087,-0.05,37.9411764706,true,0,0,0
building_088,-0.05,48.9705882353,true,0,0,0
building_089,-0.05,48.0882352941,true,0,0,0
building_090,-0.05,29.7058823529,true,0,0,0
building_091,-0.05,40.8823529412,true,0,0,0
building_092,-0.05,47.3529411765,true,0,0,0
building_093,-0.05,22.2058823529,true,0,0,0
building_095,-0.05,28.6764705882,true,0,0,0
building_097,-0.05,20.4411764706,true,0,0,0
building_099,-0.05,31.0294117647,true,0,0,0
building_100,-0.05,48.6764705882,true,0,0,0
building_102,-0.05,45.5882352941,true,0,0,0
building_103,-0.05,33.2352941176,true,0,0,0
building_104,-0.05,35,true,0,0,0
building_105,-0.05,34.5588235294,true,0,0,0
building_106,-0.05,33.8235294118,true,0,0,0
building_108,-0.05,28.9705882353,true,0,0,0
building_109,-0.05,21.3235294118,true,0,0,0
building_110,-0.05,24.5588235294,true,0,0,0
building_111,-0.05,38.6764705882,true,0,0,0
building_113,-0.05,24.7058823529,true,0,0,0
building_114,-0.05,35.4411764706,true,0,0,0
building_116,-0.05,27.3529411765,true,0,0,0
building_117,-0.05,22.0588235294,true,0,0,0
building_118,-0.05,40.4411764706,true,0,0,0
building_119,-0.05,35.5882352941,true,0,0,0
building_120,-0.05,26.6176470588,true,0,0,0
building_121,-0.05,37.3529411765,true,0,0,0
building_124,-0.05,22.3529411765,true,0,0,0
building_125,-0.05,30,true,0,0,0
building_126,-0.05,37.2058823529,true,0,0,0
building_127,-0.05,40.7352941176,true,0,0,0
building_128,-0.05,26.1764705882,true,0,0,0
building_129,-0.05,25.5882352941,true,0,0,0
building_130,-0.05,23.3823529412,true,0,0,0
building_131,-0.05,46.7647058824,true,0,0,0
building_132,-0.05,25.1470588235,true,0,0,0
building_133,-0.05,28.0882352941,true,0,0,0
building_134,-0.05,27.2058823529,true,0,0,0
building_135,-0.05,41.6176470588,true,0,0,0
building_136,-0.05,21.7647058824,true,0,0,0
building_137,-0.05,46.6176470588,true,0,0,0
building_139,-0.05,35.1470588235,true,0,0,0
building_141,-0.05,27.0588235294,true,0,0,0
building_142,-0.05,25.4411764706,true,0,0,0
building_143,-0.05,20.8823529412,true,0,0,0
building_144,-0.05,45.1470588235,true,0,0,0
building_145,-0.05,26.4705882353,true,0,0,0
building_146,-0.05,49.7058823529,true,0,0,0
building_147,-0.05,21.1764705882,true,0,0,0
building_148,-0.05,27.6470588235,true,0,0,0
building_150,-0.05,32.2058823529,true,0,0,0
building_153,-0.05,39.1176470588,true,0,0,0
building_154,-0.05,31.6176470588,true,0,0,0
building_155,-0.05,28.3823529412,true,0,0,0
building_156,-0.05,43.2352941176,true,0,0,0
building_157,-0.05,34.8529411765,true,0,0,0
building_158,-0.05,23.5294117647,true,0,0,0
building_159,-0.05,32.0588235294,true,0,0,0
building_161,-0.05,22.6470588235,true,0,0,0
building_162,-0.05,31.4705882353,true,0,0,0
