building_a,building_b,original_edge_gap_m,new_edge_gap_m,gap_ratio
building_001,building_002,9.3099877889,37.4644269279,4.0241112854
building_002,building_059,22.8698250715,74.8983528769,3.2749858227
building_004,building_131,4.5766758844,33.0165279227,7.214084798
building_004,building_157,29.0268696626,96.047822002,3.3089280077
building_004,building_180,33.7906175151,106.6415031377,3.1559501122
building_005,building_007,28.0992148881,106.8112304088,3.8012176082
building_005,building_221,27.0985208037,88.3004615629,3.2584974731
building_005,building_267,27.9012238298,93.8469191334,3.3635413165
building_007,building_089,18.4832144469,90.334996192,4.8874072446
building_007,building_221,4.7340803446,31.6565659639,6.686951564
building_007,building_224,5.444116418,32.6693452128,6.0008535278
building_007,building_255,24.6169017369,81.6087837484,3.3151525168
building_007,building_267,25.327001743,82.5108665574,3.2578221218
building_009,building_084,33.0915133267,112.5353674523,3.4007319744
building_009,building_129,21.3044395096,82.326269707,3.8642776624
building_009,building_178,21.8625692646,94.346155007,4.3154193757
building_009,building_259,1.9794639625,34.2994605479,17.3276509183
building_010,building_065,15.0329042919,67.895598687,4.5164658384
building_010,building_067,26.1680089055,98.9328488786,3.7806792728
building_010,building_145,26.2060577167,99.8877640405,3.8116287891
building_010,building_156,15.6221862206,62.1176539877,3.9762459051
building_010,building_187,33.6992874882,122.7336129705,3.6420239749
building_010,building_210,15.278940334,71.770232623,4.6973305121
building_010,building_219,2.1393761319,35.5173658744,16.6017397991
building_010,building_254,29.036361815,104.8546903982,3.6111511169
building_010,building_273,21.8696407602,79.7416031286,3.646223731
building_011,building_014,16.7402514276,66.3225445389,3.9618607179
building_011,building_019,11.4980616203,42.9859323984,3.7385373133
building_011,building_050,8.0269482163,39.6861065939,4.9441089595
building_011,building_053,17.9665925965,63.9640198721,3.5601642064
building_011,building_114,0.9011128352,16.6930326672,18.5249083307
building_011,building_133,7.78521336,45.1869703577,5.8042044923
building_011,building_150,28.3698813535,89.7717228821,3.1643319816
building_011,building_227,21.6411347342,68.6585186261,3.1725932798
building_012,building_020,1.6568437594,18.1440369506,10.9509643549
building_012,building_049,34.5078454619,115.009738585,3.3328577037
building_012,building_050,31.5722104161,99.3105241123,3.1455043155
