schema_version,map_name,frame_id,building_id,source_component_id,ring_role,ring_index,vertex_order,next_vertex_order,ring_vertex_count,winding,x_enu_m,y_enu_m,foundation_z_m,ground_reference_z_m,roof_z_m,height_above_ground_m
1,city_uav,gazebo_world_enu,building_001,1046,outer,0,0,1,4,CCW,-363.344,356.3635,-0.05,0,48.2352941176,48.2352941176
1,city_uav,gazebo_world_enu,building_001,1046,outer,0,1,2,4,CCW,-327.687,342.1635,-0.05,0,48.2352941176,48.2352941176
1,city_uav,gazebo_world_enu,building_001,1046,outer,0,2,3,4,CCW,-318.774,363.467,-0.05,0,48.2352941176,48.2352941176
1,city_uav,gazebo_world_enu,building_001,1046,outer,0,3,0,4,CCW,-354.431,378.259,-0.05,0,48.2352941176,48.2352941176
1,city_uav,gazebo_world_enu,building_002,1052,outer,0,0,1,4,CCW,-340.76375,397.7875,-0.05,0,30.1470588235,30.1470588235
1,city_uav,gazebo_world_enu,building_002,1052,outer,0,1,2,4,CCW,-312.23825,386.54575,-0.05,0,30.1470588235,30.1470588235
1,city_uav,gazebo_world_enu,building_002,1052,outer,0,2,3,4,CCW,-304.51375,405.48225,-0.05,0,30.1470588235,30.1470588235
1,city_uav,gazebo_world_enu,building_002,1052,outer,0,3,0,4,CCW,-333.03925,416.724,-0.05,0,30.1470588235,30.1470588235
1,city_uav,gazebo_world_enu,building_004,1055,outer,0,0,1,4,CCW,-604.0315,538.0205,-0.05,0,23.0882352941,23.0882352941
1,city_uav,gazebo_world_enu,building_004,1055,outer,0,1,2,4,CCW,-585.0145,528.55325,-0.05,0,23.0882352941,23.0882352941
1,city_uav,gazebo_world_enu,building_004,1055,outer,0,2,3,4,CCW,-575.507,548.0815,-0.05,0,23.0882352941,23.0882352941
1,city_uav,gazebo_world_enu,building_004,1055,outer,0,3,0,4,CCW,-594.524,557.54875,-0.05,0,23.0882352941,23.0882352941
1,city_uav,gazebo_world_enu,building_005,1057,outer,0,0,1,4,CCW,551.222,552.3005,-0.05,0,33.5294117647,33.5294117647
1,city_uav,gazebo_world_enu,building_005,1057,outer,0,1,2,4,CCW,551.22375,535.13975,-0.05,0,33.5294117647,33.5294117647
1,city_uav,gazebo_world_enu,building_005,1057,outer,0,2,3,4,CCW,591.03975,535.1435,-0.05,0,33.5294117647,33.5294117647
1,city_uav,gazebo_world_enu,building_005,1057,outer,0,3,0,4,CCW,591.038,551.7125,-0.05,0,33.5294117647,33.5294117647
1,city_uav,gazebo_world_enu,building_007,1063,outer,0,0,1,4,CCW,418.102,602.58725,-0.05,0,38.3823529412,38.3823529412
1,city_uav,gazebo_world_enu,building_007,1063,outer,0,1,2,4,CCW,418.10325,587.7935,-0.05,0,38.3823529412,38.3823529412
